ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
22106401,中古マンション等,,22210,静岡県,富士市,水戸島本町,富士,5,１ＤＫ,30,,,,平成4年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2012年第3四半期,,,6.176091259055681
22000628,中古マンション等,,22101,静岡県,静岡市葵区,上足洗,静岡,30分?60分,４ＬＤＫ,85,,,,平成10年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2020年第3四半期,改装済,,7.278753600952829
22133630,中古マンション等,,22207,静岡県,富士宮市,朝日町,西富士宮,13,４ＬＤＫ,75,,,,平成5年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2008年第3四半期,未改装,,6.963787827345556
22033085,中古マンション等,,22102,静岡県,静岡市駿河区,桃園町,用宗,29,４ＬＤＫ,75,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2014年第3四半期,未改装,,7.041392685158225
22011780,中古マンション等,,22131,静岡県,浜松市中区,西伊場町,浜松,30分?60分,２ＬＤＫ,65,,,,,,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2019年第2四半期,改装済,,6.799340549453582
22100708,中古マンション等,,22203,静岡県,沼津市,三枚橋町,沼津,4,３ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2013年第2四半期,未改装,,7.342422680822207
22084036,中古マンション等,,22211,静岡県,磐田市,中泉,磐田,2,３ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第2四半期,未改装,,7.361727836017593
22012436,中古マンション等,,22131,静岡県,浜松市中区,元浜町,浜松,15,１ＬＤＫ,50,,,,平成9年,ＳＲＣ,住宅,その他,,,,商業地域,80.0,500.0,2020年第4四半期,未改装,,6.929418925714293
22013843,中古マンション等,,22132,静岡県,浜松市東区,神立町,浜松,30分?60分,２ＬＤＫ,75,,,,平成18年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第2四半期,未改装,,7.342422680822207
22001420,中古マンション等,,22101,静岡県,静岡市葵区,七間町,静岡,13,３ＬＤＫ,85,,,,平成27年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2016年第2四半期,改装済,,7.5910646070264995
22022730,中古マンション等,,22203,静岡県,沼津市,上香貫,沼津,25,３ＬＤＫ,65,,,,,ＲＣ,住宅,,,,,,,,2017年第2四半期,,,6.863322860120456
22054364,中古マンション等,,22131,静岡県,浜松市中区,東伊場,浜松,19,３ＬＤＫ,80,,,,昭和61年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2011年第2四半期,改装済,,6.869231719730976
22008390,中古マンション等,,22103,静岡県,静岡市清水区,本郷町,清水(静岡),6,２ＬＤＫ,60,,,,昭和49年,,住宅,住宅,,,,商業地域,80.0,400.0,2017年第4四半期,改装済,,6.763427993562937
22076604,中古マンション等,,22101,静岡県,静岡市葵区,緑町,静岡,1H?1H30,２ＬＤＫ,60,,,,平成3年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2013年第1四半期,改装済,,7.041392685158225
22056508,中古マンション等,,22131,静岡県,浜松市中区,板屋町,浜松,5,２ＤＫ,65,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2015年第3四半期,未改装,,7.447158031342219
22104875,中古マンション等,,22206,静岡県,三島市,松が丘,三島,30分?60分,２ＬＤＫ,60,,,,平成13年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2013年第4四半期,未改装,,7.146128035678238
22029151,中古マンション等,,22101,静岡県,静岡市葵区,梅屋町,静岡,15,３ＤＫ,65,,,,平成10年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第2四半期,未改装,,7.146128035678238
22101030,中古マンション等,,22203,静岡県,沼津市,白銀町,沼津,7,３ＬＤＫ,80,,,,,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第2四半期,未改装,,7.380211241711606
22004804,中古マンション等,,22102,静岡県,静岡市駿河区,豊田,静岡,30分?60分,２ＬＤＫ,55,,,,,ＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2017年第1四半期,,,7.230448921378274
22009255,中古マンション等,,22131,静岡県,浜松市中区,小豆餅,浜松,1H?1H30,３ＬＤＫ,75,,,,平成27年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2018年第3四半期,未改装,,7.431363764158987
22001087,中古マンション等,,22101,静岡県,静岡市葵区,北安東,静岡,2H?,３ＬＤＫ,60,,,,平成6年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2017年第1四半期,未改装,,6.977723605288848
22029209,中古マンション等,,22101,静岡県,静岡市葵区,両替町,静岡,11,１Ｋ,20,,,,昭和59年,ＳＲＣ,住宅,その他,,,,商業地域,80.0,600.0,2014年第3四半期,未改装,,6.431363764158987
