ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
8008890,中古マンション等,,8201,茨城県,水戸市,城南,水戸,6,３ＬＤＫ,60,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2015年第2四半期,未改装,,7.204119982655925
8039579,中古マンション等,,8204,茨城県,古河市,東本町,古河,3,３ＬＤＫ,65,,,,昭和55年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2007年第4四半期,未改装,,6.778151250383644
8032248,中古マンション等,,8203,茨城県,土浦市,小松,土浦,18,３ＬＤＫ,60,,,,平成2年,ＲＣ,住宅,,,,,準住居地域,60.0,200.0,2008年第2四半期,未改装,,6.778151250383644
8090318,中古マンション等,,8224,茨城県,守谷市,御所ケ丘,新守谷,3,３ＬＤＫ,75,,,,,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2013年第2四半期,未改装,,7.342422680822207
8044516,中古マンション等,,8221,茨城県,ひたちなか市,殿山町,殿山,6,２ＬＤＫ,55,,,,昭和50年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第3四半期,改装済,,6.230448921378274
8077871,中古マンション等,,8220,茨城県,つくば市,吾妻,つくば,11,２ＬＤＫ,65,,,,平成6年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第2四半期,未改装,,7.113943352306837
8017700,中古マンション等,,8203,茨城県,土浦市,中村南,荒川沖,21,３ＤＫ,65,,,,昭和64年,ＲＣ,住宅,住宅,,,,第２種低層住居専用地域,60.0,150.0,2014年第4四半期,改装済,,6.698970004336019
8037585,中古マンション等,,8220,茨城県,つくば市,二の宮,つくば,30分?60分,３ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2016年第2四半期,未改装,,7.278753600952829
8064488,中古マンション等,,8217,茨城県,取手市,西,取手,20,３ＬＤＫ,60,,,,昭和53年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2012年第2四半期,未改装,,6.491361693834273
8029005,中古マンション等,,8201,茨城県,水戸市,五軒町,水戸,21,３ＬＤＫ,80,,,,平成20年,ＲＣ,住宅,,,,,近隣商業地域,80.0,400.0,2009年第4四半期,未改装,,7.544068044350276
