ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
43000854,中古マンション等,,43101,熊本県,熊本市中央区,神水本町,神水交差点,1,４ＬＤＫ,90,,,,平成29年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2016年第4四半期,,,7.653212513775344
43005026,中古マンション等,,43103,熊本県,熊本市西区,島崎,上熊本(ＪＲ・熊本電鉄),25,,80,,,,平成11年,ＲＣ,,住宅,,,,,,,2018年第3四半期,改装済,,7.146128035678238
43061435,中古マンション等,,43101,熊本県,熊本市中央区,水前寺,,,,85,,,,,ＳＲＣ,住宅,,,,,,,,2008年第1四半期,,,7.230448921378274
43001102,中古マンション等,,43101,熊本県,熊本市中央区,米屋町,熊本,18,３ＬＤＫ,70,,,,平成3年,ＳＲＣ,住宅,その他,,,,商業地域,80.0,500.0,2017年第4四半期,改装済,,7.0
43001867,中古マンション等,,43101,熊本県,熊本市中央区,萩原町,南熊本,4,３ＬＤＫ,65,,,,平成20年,ＲＣ,,住宅,,,,準工業地域,60.0,200.0,2020年第1四半期,未改装,,7.342422680822207
43047057,中古マンション等,,43101,熊本県,熊本市中央区,呉服町,熊本,11,３ＬＤＫ,75,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第3四半期,未改装,,7.447158031342219
43003080,中古マンション等,,43102,熊本県,熊本市東区,佐土原,新水前寺,30分?60分,１ＤＫ,45,,,,平成3年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,150.0,2021年第2四半期,未改装,,6.903089986991944
43030789,中古マンション等,,43101,熊本県,熊本市中央区,坪井,上熊本(ＪＲ・熊本電鉄),25,４ＬＤＫ,100,,,,戦前,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第2四半期,未改装,,7.361727836017593
43030705,中古マンション等,,43101,熊本県,熊本市中央区,水前寺,水前寺,6,３ＬＤＫ,60,,,,平成2年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2011年第2四半期,未改装,,7.079181246047625
43047337,中古マンション等,,43101,熊本県,熊本市中央区,水前寺,水前寺,14,１ＤＫ,25,,,,平成3年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2013年第1四半期,未改装,,6.544068044350276
