ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
24000643,中古マンション等,,24201,三重県,津市,一身田上津部田,津,21,３ＬＤＫ,70,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第3四半期,改装済,,7.342422680822207
24050440,中古マンション等,,24207,三重県,鈴鹿市,白子町,白子,23,２ＬＤＫ,60,,,,平成4年,ＳＲＣ,住宅,,,,,市街化調整区域,70.0,200.0,2012年第2四半期,未改装,,6.812913356642856
24048024,中古マンション等,,24201,三重県,津市,西丸之内,津新町,5,３ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,近隣商業地域,80.0,400.0,2013年第2四半期,未改装,,7.3979400086720375
24005099,中古マンション等,,24202,三重県,四日市市,鵜の森,近鉄四日市,6,２ＬＤＫ,75,,,,平成15年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2019年第1四半期,未改装,,7.361727836017593
24007186,中古マンション等,,24202,三重県,四日市市,富田,富田(三重),3,２ＬＤＫ,75,,,,平成24年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2017年第1四半期,未改装,,7.3222192947339195
24004444,中古マンション等,,24201,三重県,津市,南が丘,南が丘,1,３ＬＤＫ,70,,,,,,,住宅,,,,第１種住居地域,60.0,200.0,2020年第3四半期,改装済,,7.342422680822207
24049304,中古マンション等,,24202,三重県,四日市市,鵜の森,近鉄四日市,8,,90,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2013年第3四半期,未改装,,6.919078092376074
24053907,中古マンション等,,24202,三重県,四日市市,芝田,中川原,4,４ＬＤＫ,80,,,,平成11年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2009年第4四半期,未改装,,7.146128035678238
24049629,中古マンション等,,24205,三重県,桑名市,有楽町,桑名,1,２ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第1四半期,未改装,,7.3979400086720375
24010474,中古マンション等,,24203,三重県,伊勢市,船江,伊勢市,15,４ＬＤＫ,90,,,,平成22年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2017年第4四半期,未改装,,7.447158031342219
24014778,中古マンション等,,24205,三重県,桑名市,大字福島,桑名,13,４ＬＤＫ,80,,,,平成4年,ＳＲＣ,住宅,その他,,,,工業地域,60.0,200.0,2020年第3四半期,,,7.146128035678238
