ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
17040162,中古マンション等,,17201,石川県,金沢市,富樫,金沢,1H?1H30,３ＬＤＫ,55,,,,昭和64年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2009年第3四半期,未改装,,6.8512583487190755
17021169,中古マンション等,,17201,石川県,金沢市,土清水,金沢,1H30?2H,１Ｒ,15,,,,平成5年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第3四半期,未改装,,6.079181246047625
17006821,中古マンション等,,17201,石川県,金沢市,武蔵町,金沢,13,オープンフロア,30,,,,昭和48年,ＳＲＣ,店舗,店舗,,,,商業地域,80.0,600.0,2017年第2四半期,改装済,,6.838849090737256
17002519,中古マンション等,,17201,石川県,金沢市,小立野,金沢,1H?1H30,,60,,,,,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2019年第4四半期,未改装,,6.8750612633917
17001388,中古マンション等,,17201,石川県,金沢市,尾張町,金沢,18,２ＬＤＫ,60,,,,平成12年,ＳＲＣ,住宅,その他,,,,商業地域,80.0,400.0,2020年第4四半期,改装済,,7.380211241711606
17005249,中古マンション等,,17201,石川県,金沢市,野町,金沢,30分?60分,２ＬＤＫ,70,,,,,,,住宅,,,,第１種住居地域,,,2019年第1四半期,未改装,,6.301029995663981
17040650,中古マンション等,,17201,石川県,金沢市,本多町,金沢,30分?60分,１Ｋ,20,,,,平成3年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第2四半期,未改装,,5.903089986991944
17027005,中古マンション等,,17201,石川県,金沢市,直江町,金沢,30分?60分,３ＬＤＫ,75,,,,平成3年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2015年第3四半期,未改装,,6.681241237375588
17000621,中古マンション等,,17201,石川県,金沢市,泉本町,金沢,30分?60分,３ＬＤＫ,65,,,,,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2017年第2四半期,未改装,,7.041392685158225
17004446,中古マンション等,,17201,石川県,金沢市,富樫,金沢,1H?1H30,２ＬＤＫ,60,,,,平成11年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2020年第1四半期,未改装,,7.176091259055681
17044265,中古マンション等,,17201,石川県,金沢市,小立野,金沢,1H?1H30,２ＬＤＫ,50,,,,平成3年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2008年第1四半期,改装済,,6.838849090737256
17039365,中古マンション等,,17201,石川県,金沢市,三社町,金沢,16,,30,,,,昭和64年,ＳＲＣ,その他,,,,,準工業地域,60.0,200.0,2009年第4四半期,未改装,,6.3979400086720375
17035378,中古マンション等,,17201,石川県,金沢市,菊川,金沢,30分?60分,１Ｋ,10,,,,平成4年,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2013年第1四半期,未改装,,6.041392685158225
17033756,中古マンション等,,17201,石川県,金沢市,本町,金沢,5,３ＬＤＫ,85,,,,平成14年,鉄骨造,住宅,,,,,商業地域,80.0,600.0,2012年第1四半期,未改装,,7.380211241711606
17022846,中古マンション等,,17201,石川県,金沢市,十間町,金沢,15,,65,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第1四半期,未改装,調停・競売等,7.3222192947339195
17020061,中古マンション等,,17201,石川県,金沢市,泉野町,金沢,1H?1H30,３ＬＤＫ,75,,,,平成9年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2014年第3四半期,改装済,,7.278753600952829
17027064,中古マンション等,,17203,石川県,小松市,串町,粟津(石川),29,４ＬＤＫ,85,,,,平成9年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第3四半期,未改装,調停・競売等,6.880813592280791
17020143,中古マンション等,,17201,石川県,金沢市,駅西本町,金沢,11,３ＬＤＫ,65,,,,平成11年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2014年第4四半期,未改装,,7.146128035678238
17044346,中古マンション等,,17201,石川県,金沢市,三社町,,,２ＬＤＫ,50,,,,昭和64年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2007年第2四半期,未改装,,6.8750612633917
