ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
42035913,中古マンション等,,42202,長崎県,佐世保市,今福町,,,３ＬＤＫ,65,,,,平成6年,ＳＲＣ,住宅,,,,,,,,2009年第2四半期,改装済,,6.968482948553935
42025706,中古マンション等,,42201,長崎県,長崎市,赤迫,西浦上,9,３ＬＤＫ,70,,,,平成3年,ＳＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2012年第4四半期,改装済,,6.929418925714293
42018042,中古マンション等,,42201,長崎県,長崎市,葉山,道ノ尾,3,３ＬＤＫ,65,,,,昭和64年,ＳＲＣ,住宅,,,,,,,,2010年第2四半期,,,7.041392685158225
42000378,中古マンション等,,42201,長崎県,長崎市,岩屋町,道ノ尾,6,３ＬＤＫ,70,,,,平成10年,ＳＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2021年第2四半期,,,7.230448921378274
42031219,中古マンション等,,42201,長崎県,長崎市,大浜町,長崎(長崎),1H?1H30,４ＬＤＫ,65,,,,昭和64年,ＳＲＣ,住宅,,,,,準住居地域,60.0,200.0,2013年第2四半期,未改装,,6.939519252618618
42005629,中古マンション等,,42202,長崎県,佐世保市,常盤町,佐世保,16,３ＬＤＫ,75,,,,平成25年,ＳＲＣ,,住宅,,,,商業地域,80.0,600.0,2021年第1四半期,未改装,,7.477121254719663
42038519,中古マンション等,,42202,長崎県,佐世保市,稲荷町,,,３ＬＤＫ,55,,,,,ＲＣ,住宅,,,,,,,,2008年第4四半期,未改装,,6.838849090737256
42037818,中古マンション等,,42201,長崎県,長崎市,大浦町,長崎(長崎),25,４ＬＤＫ,90,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第4四半期,未改装,,7.544068044350276
42000039,中古マンション等,,42201,長崎県,長崎市,赤迫,西浦上,5,３ＬＤＫ,70,,,,,ＲＣ,住宅,住宅,,,,,,,2019年第2四半期,,,7.414973347970818
42037712,中古マンション等,,42201,長崎県,長崎市,青山町,浦上,28,２ＤＫ,45,,,,昭和60年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2008年第3四半期,未改装,,6.230448921378274
42005079,中古マンション等,,42202,長崎県,佐世保市,島地町,佐世保中央,6,３ＬＤＫ,70,,,,平成22年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2020年第1四半期,未改装,,7.361727836017593
42031142,中古マンション等,,42201,長崎県,長崎市,大井手町,諏訪神社,3,１Ｋ,20,,,,,ＳＲＣ,住宅,,,,,商業地域,,,2013年第4四半期,,,6.431363764158987
42020422,中古マンション等,,42201,長崎県,長崎市,五島町,長崎(長崎),9,４ＬＤＫ,80,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,,,2011年第4四半期,未改装,,7.431363764158987
42025328,中古マンション等,,42201,長崎県,長崎市,出島町,長崎(長崎),16,２ＬＤＫ,65,,,,平成27年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2015年第4四半期,未改装,,7.491361693834273
42026030,中古マンション等,,42201,長崎県,長崎市,御船蔵町,長崎(長崎),10,３ＬＤＫ,65,,,,平成5年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第2四半期,未改装,,7.176091259055681
42022447,中古マンション等,,42202,長崎県,佐世保市,潮見町,佐世保,6,３ＬＤＫ,70,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第4四半期,未改装,,6.929418925714293
42002450,中古マンション等,,42201,長崎県,長崎市,滑石,道ノ尾,30分?60分,３ＤＫ,45,,,,,鉄骨造,住宅,住宅,,,,,,,2017年第1四半期,,,6.832508912706237
42006129,中古マンション等,,42202,長崎県,佐世保市,比良町,佐世保,30分?60分,３ＬＤＫ,70,,,,平成7年,ＲＣ,住宅,住宅,,,,,,,2017年第2四半期,未改装,,7.146128035678238
42038059,中古マンション等,,42201,長崎県,長崎市,宿町,,,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,,,,,,,,2007年第3四半期,改装済,,6.832508912706237
42020035,中古マンション等,,42201,長崎県,長崎市,御船蔵町,長崎(長崎),10,２ＬＤＫ,50,,,,平成5年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第3四半期,未改装,,6.968482948553935
42008684,中古マンション等,,42204,長崎県,諫早市,天満町,諫早,11,３ＬＤＫ,95,,,,平成11年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第1四半期,未改装,,7.146128035678238
42022533,中古マンション等,,42202,長崎県,佐世保市,島地町,佐世保,11,３ＬＤＫ,95,,,,平成23年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第4四半期,未改装,,7.414973347970818
42003352,中古マンション等,,42201,長崎県,長崎市,松が枝町,長崎(長崎),26,３ＬＤＫ,70,,,,平成17年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第1四半期,未改装,,7.414973347970818
42007599,中古マンション等,,42204,長崎県,諫早市,栄田町,諫早,25,４ＬＤＫ,75,,,,平成10年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2019年第2四半期,未改装,,7.041392685158225
42017552,中古マンション等,,42201,長崎県,長崎市,昭和,西浦上,18,３ＬＤＫ,60,,,,昭和64年,ＳＲＣ,住宅,,,,,,,,2010年第4四半期,,,6.812913356642856
42018012,中古マンション等,,42201,長崎県,長崎市,浜町,思案橋,1,オープンフロア,35,,,,昭和64年,ＳＲＣ,店舗,,,,,商業地域,80.0,800.0,2010年第3四半期,,,6.991226075692495
42020702,中古マンション等,,42201,長崎県,長崎市,住吉町,西浦上,4,４ＬＤＫ,90,,,,平成7年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第4四半期,未改装,,7.380211241711606
42004761,中古マンション等,,42202,長崎県,佐世保市,権常寺,早岐,5,４ＬＤＫ,85,,,,平成19年,ＲＣ,,住宅,,,,商業地域,80.0,400.0,2020年第3四半期,未改装,,7.380211241711606
42019957,中古マンション等,,42201,長崎県,長崎市,大園町,高田(長崎),26,４ＬＤＫ,75,,,,平成9年,ＲＣ,住宅,,,,,第１種低層住居専用地域,50.0,100.0,2011年第3四半期,未改装,,7.041392685158225
42000693,中古マンション等,,42201,長崎県,長崎市,大浜町,長崎(長崎),1H?1H30,３ＬＤＫ,90,,,,平成11年,ＳＲＣ,,住宅,,,,準住居地域,60.0,200.0,2018年第4四半期,改装済,,7.380211241711606
42020902,中古マンション等,,42201,長崎県,長崎市,筑後町,長崎(長崎),7,１ＤＫ,25,,,,昭和60年,ＲＣ,住宅,,,,,,,,2011年第3四半期,未改装,,6.176091259055681
