ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
26036930,中古マンション等,,26104,京都府,京都市中京区,梅屋学区,丸太町(京都市営),6,１ＬＤＫ,50,,,,平成20年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2010年第4四半期,未改装,,7.3979400086720375
26038453,中古マンション等,,26106,京都府,京都市下京区,有隣学区,五条(京都市営),4,１ＬＤＫ,40,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,700.0,2010年第4四半期,未改装,,7.447158031342219
26079662,中古マンション等,,26102,京都府,京都市上京区,出水学区,二条,10,１Ｋ,20,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2006年第3四半期,未改装,,7.230448921378274
26054533,中古マンション等,,26106,京都府,京都市下京区,有隣学区,清水五条,4,２ＤＫ,50,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80.0,700.0,2012年第4四半期,未改装,,7.2552725051033065
26067923,中古マンション等,,26109,京都府,京都市伏見区,竹田中島町,くいな橋,3,３ＬＤＫ,65,,,,平成3年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第3四半期,改装済,,7.230448921378274
26088272,中古マンション等,,26110,京都府,京都市山科区,御陵大谷町,山科,,,60,,,,昭和63年,ＲＣ,住宅,,,,,第１種低層住居専用地域,50.0,80.0,2006年第4四半期,,,7.041392685158225
26066790,中古マンション等,,26108,京都府,京都市右京区,嵯峨野開町,帷子ノ辻,4,２ＤＫ,40,,,,昭和54年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2013年第1四半期,,,6.845098040014257
26002438,中古マンション等,,26102,京都府,京都市上京区,出水学区,二条,12,２ＤＫ,40,,,,平成2年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2020年第3四半期,未改装,,7.079181246047625
26063480,中古マンション等,,26366,京都府,相楽郡精華町,精華台,新祝園,20,４ＬＤＫ,90,,,,平成13年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2011年第3四半期,未改装,,7.278753600952829
26047930,中古マンション等,,26110,京都府,京都市山科区,竹鼻木ノ本町,山科,9,３ＬＤＫ,70,,,,平成11年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2011年第2四半期,未改装,,7.361727836017593
26008473,中古マンション等,,26106,京都府,京都市下京区,修徳学区,五条(京都市営),3,１Ｋ,20,,,,昭和64年,鉄骨造,住宅,住宅,,,,商業地域,80.0,700.0,2020年第4四半期,未改装,,6.799340549453582
26008336,中古マンション等,,26106,京都府,京都市下京区,格致学区,大宮(京都),8,３ＬＤＫ,65,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,700.0,2018年第1四半期,改装済,,7.568201724066995
